,frame_idx,x,y,width,height,is_bball,shot_idx
6989,2793,716,404.0,36,34,True,11
6991,2794,709,384.0,36,32,True,11
6992,2795,703,363.0,35,33,True,11
6993,2796,704,344.0,27,24,True,11
6995,2797,690,327.0,35,28,True,11
6997,2798,685,311.0,32,33,True,11
7000,2799,677,297.0,34,32,True,11
7005,2800,672,284.0,33,35,True,11
7008,2801,667,273.0,32,34,True,11
7012,2802,659,264.0,33,30,True,11
7014,2803,654,255.0,30,32,True,11
7016,2804,643,247.0,24,27,True,11
7039,2812,602,247.0,23,34,True,11
7044,2813,597,256.0,25,32,True,11
7047,2814,593,269.0,27,28,True,11
7059,2817,579,310.0,35,22,True,11
7379,2956,196,397.0,28,24,True,12
7382,2958,175,354.0,25,25,True,12
7386,2962,189,344.0,22,24,True,12
7391,2965,219,297.0,21,28,True,12
7396,2968,190,271.0,26,27,True,12
7408,2974,238,185.0,28,29,True,12
7410,2975,252,164.0,31,29,True,12
7413,2976,268,146.0,30,27,True,12
7415,2977,299,110.0,30,29,True,12
7418,2978,315,96.0,30,27,True,12
7421,2979,330,82.0,30,27,True,12
7425,2980,345,69.0,30,27,True,12
7427,2981,360,59.0,29,26,True,12
7428,2982,376,49.0,26,28,True,12
7429,2983,390,40.0,29,28,True,12
7430,2984,405,33.0,28,26,True,12
7431,2985,420,27.0,28,28,True,12
7432,2986,435,21.0,27,26,True,12
7433,2987,449,17.0,29,28,True,12
7434,2988,465,15.0,27,26,True,12
7435,2989,478,13.0,29,25,True,12
7437,2990,492,13.0,27,25,True,12
7439,2991,507,14.0,28,25,True,12
7441,2992,522,15.0,27,24,True,12
7444,2993,536,19.0,27,29,True,12
7447,2994,551,23.0,28,29,True,12
7450,2995,567,29.0,24,24,True,12
7452,2996,582,35.0,23,28,True,12
7454,2997,596,43.0,24,21,True,12
7456,2998,616,52.0,21,23,True,12
7458,2999,628,62.0,24,26,True,12
7461,3000,647,76.0,19,25,True,12
7463,3001,661,91.0,22,22,True,12
7465,3002,672,99.0,25,28,True,12
7468,3004,690,112.0,32,27,True,12
7471,3005,689,122.0,29,26,True,12
7501,3020,747,197.0,25,26,True,13
7506,3022,755,220.0,28,28,True,13
7509,3023,760,233.0,29,21,True,13
7515,3025,774,264.0,25,24,True,13
7519,3026,776,280.0,28,28,True,13
7522,3027,784,299.0,26,29,True,13
7527,3028,787,323.0,27,26,True,13
7531,3029,792,340.0,24,30,True,13
7535,3030,798,363.0,30,30,True,13
7539,3031,804,388.0,31,27,True,13
7543,3032,810,414.0,31,28,True,13
7552,3034,815,417.0,32,26,True,13
7555,3035,814,398.0,30,29,True,13
7557,3036,813,381.0,31,28,True,13
7562,3037,812,366.0,31,27,True,13
7568,3038,811,352.0,31,26,True,13
7569,3039,810,339.0,31,27,True,13
